nominal_duration,plan_duration,expected_value,std_dev
47.60499858856201,171.01860284805298,0.0,0.0
45.305002212524414,175.41599559783936,0.0,0.0
100.53800392150879,122.81900763511658,0.0,0.0
105.10099601745605,133.82471799850464,0.0,0.0
106.02700233459473,122.42346692085266,0.0,0.0
108.32300186157227,109.82012224197388,0.0,0.0
105.5529956817627,110.22128105163574,0.0,0.0
105.7919979095459,111.2236852645874,0.0,0.0
106.302001953125,109.62174844741821,0.0,0.0
105.65900039672852,111.82053542137146,0.0,0.0
106.76700210571289,109.82297444343567,0.0,0.0
105.84399795532227,110.6279046535492,0.0,0.0
106.23100090026855,110.22640180587769,0.0,0.0
106.2020034790039,111.6227650642395,0.0,0.0
98.56099700927734,159.2260446548462,0.0,0.0
108.2549991607666,110.42390036582947,0.0,0.0
107.94000053405762,109.82980942726135,0.0,0.0
105.28700256347656,113.82809448242188,0.0,0.0
107.67899703979492,111.42091083526611,0.0,0.0
107.20000076293945,110.42322540283203,0.0,0.0
106.74700164794922,110.02383685112,0.0,0.0
105.18299674987793,110.63340210914612,0.0,0.0
115.84400177001953,149.02333521842957,0.0,0.0
119.71900177001953,147.42770218849182,0.0,0.0
101.94200325012207,121.62125205993652,0.0,0.0
112.05499839782715,164.2293245792389,0.0,0.0
118.42599678039551,123.02970361709595,0.0,0.0
107.03599548339844,138.4229371547699,0.0,0.0
117.80700016021729,125.63625741004944,0.0,0.0
119.87900161743164,126.62990736961365,0.0,0.0
119.52500247955322,125.42950439453125,0.0,0.0
120.88600254058838,126.83205509185791,0.0,0.0
119.53399753570557,123.8256618976593,0.0,0.0
118.29700088500977,181.62261199951172,0.0,0.0
113.85800075531006,130.432297706604,0.0,0.0
117.23699951171875,134.0265290737152,0.0,0.0
119.19399929046631,137.62921500205994,0.0,0.0
120.72599697113037,125.63911008834839,0.0,0.0
120.6120023727417,123.83349323272705,0.0,0.0
119.95900058746338,124.4330940246582,0.0,0.0
118.33700275421143,124.63090062141418,0.0,0.0
119.35400390625,125.03167581558228,0.0,0.0
120.22799682617188,125.43423819541931,0.0,0.0
120.69499969482422,126.83790302276611,0.0,0.0
120.24499893188477,125.4291181564331,0.0,0.0
120.48199844360352,127.23354887962341,0.0,0.0
118.21100044250488,126.63471579551697,0.0,0.0
121.01200294494629,124.83943676948547,0.0,0.0
120.2269983291626,128.03424215316772,0.0,0.0
120.43600177764893,127.64012575149536,0.0,0.0
122.17800331115723,123.84279036521912,0.0,0.0
119.52700138092041,124.4355673789978,0.0,0.0
119.52699661254883,125.83944654464722,0.0,0.0
120.11500263214111,124.03631567955017,0.0,0.0
119.27600383758545,126.84067368507385,0.0,0.0
120.10099792480469,125.44506883621216,0.0,0.0
120.93200206756592,138.64150714874268,0.0,0.0
124.53499603271484,138.64419150352478,0.0,0.0
119.30400276184082,127.84401392936707,0.0,0.0
121.38500118255615,127.04162359237671,0.0,0.0
121.99299907684326,128.43800520896912,0.0,0.0
122.00500106811523,125.04441118240356,0.0,0.0
120.66400146484375,126.64694547653198,0.0,0.0
118.35299968719482,123.24566507339478,0.0,0.0
118.17900085449219,128.84734559059143,0.0,0.0
119.01700210571289,125.04098272323608,0.0,0.0
119.30200004577637,122.6469624042511,0.0,0.0
118.62900066375732,125.04341197013855,0.0,0.0
130.0839958190918,161.44375872612,0.0,0.0
117.05400276184082,122.84045553207397,0.0,0.0
125.93299865722656,148.0495138168335,0.0,0.0
117.24799728393555,122.03573346138,0.0,0.0
115.39800262451172,123.44839000701904,0.0,0.0
117.24799919128418,123.04428935050964,0.0,0.0
117.17300033569336,118.4517195224762,0.0,0.0
115.38299751281738,119.0516619682312,0.0,0.0
114.64499855041504,119.64992117881775,0.0,0.0
113.65900039672852,122.45027089118958,0.0,0.0
115.11600112915039,121.65491080284119,0.0,0.0
116.81100273132324,121.65207576751709,0.0,0.0
116.22199821472168,121.04912281036377,0.0,0.0
115.74799919128418,123.84847521781921,0.0,0.0
117.49099922180176,119.85829448699951,0.0,0.0
114.61100196838379,121.45341777801514,0.0,0.0
116.01700019836426,126.05062770843506,0.0,0.0
118.08499717712402,122.44723796844482,0.0,0.0
117.3070011138916,122.05262780189514,0.0,0.0
116.427001953125,122.85294342041016,0.0,0.0
116.5110034942627,122.66574549674988,0.0,0.0
115.87400245666504,122.45513200759888,0.0,0.0
116.87900161743164,119.45190596580505,0.0,0.0
114.3600025177002,122.45314860343933,0.0,0.0
126.8499984741211,123.86008644104004,0.0,0.0
116.08599853515625,119.65390181541443,0.0,0.0
111.79500007629395,116.04987525939941,0.0,0.0
111.86300086975098,120.45751953125,0.0,0.0
115.94200325012207,121.26902294158936,0.0,0.0
115.47799873352051,118.46491599082947,0.0,0.0
116.35300064086914,122.85306978225708,0.0,0.0
117.46499824523926,120.67156338691711,0.0,0.0
